Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.4276273250579834;0-3;Random bit-flip
precedenceOrder;salbp1-simulated-annealing.cpp;13;2.5508337020874023;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.6271111965179443;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.658010482788086;0-3;Random bit-flip
this;salbp1-simulated-annealing.cpp;0;1.3525235652923584;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.93626070022583;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.7550258636474609;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.1324889659881592;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.2267889976501465;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.2146480083465576;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.136190414428711;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.876988410949707;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.448774814605713;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.3130202293395996;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.228994131088257;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.8172338008880615;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.586029052734375;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.1633026599884033;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.756044864654541;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.3152546882629395;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.0146706104278564;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5896275043487549;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.6056180000305176;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.7370564937591553;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.5288805961608887;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.8462131023406982;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.5987365245819092;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.0822806358337402;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.642432451248169;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.7475802898406982;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.9758214950561523;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;1.2429463863372803;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.0653629302978516;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.3933699131011963;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.0183939933776855;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.7793307304382324;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.6958339214324951;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.275719404220581;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.7922089099884033;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.8095433712005615;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.471977949142456;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.3910245895385742;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.7811970710754395;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.1953928470611572;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.4665563106536865;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.9518256187438965;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.9510300159454346;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.0132033824920654;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.7082505226135254;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.285893201828003;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.3259036540985107;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.3392572402954102;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.3479588031768799;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.9664642810821533;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;1.6558349132537842;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.1288766860961914;0-3;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algo.h;4689;1.181509256362915;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.2939350605010986;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.2938897609710693;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.6770236492156982;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.6672556400299072;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.9503424167633057;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.2314140796661377;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.215987205505371;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.6170258522033691;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5142097473144531;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.4559662342071533;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.2873213291168213;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.8304834365844727;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.703129768371582;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.636096715927124;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.956540822982788;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.1115264892578125;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.4050898551940918;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;1.1483814716339111;0-3;Random bit-flip
verbose;salbp1-simulated-annealing.cpp;24;1.9414517879486084;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.084401845932007;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.3247313499450684;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.110229969024658;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.4228498935699463;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.276754379272461;0-3;Random bit-flip
