Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__n;/usr/include/c++/5/bits/stl_vector.h;779;2.2895190715789795;0-11;Random bit-flip
this;solution.cpp;0;8.392897844314575;0-11;Random bit-flip
this;solution.cpp;0;5.954444408416748;0-11;Random bit-flip
this;solution.cpp;0;3.7225141525268555;0-11;Random bit-flip
this;solution.cpp;0;4.744687557220459;0-11;Random bit-flip
_rtld_global_ro;rtld.c;168;1.036811351776123;0-11;Random bit-flip
this;solution.cpp;0;5.72798228263855;0-11;Random bit-flip
__val;/usr/include/c++/5/bits/predefined_ops.h;70;5.2709619998931885;0-11;Random bit-flip
i;solution.cpp;40;1.7204315662384033;0-11;Random bit-flip
this;simulatedannealing.cpp;0;8.004422903060913;0-11;Random bit-flip
_dl_skip_args;rtld.c;84;0.8889861106872559;0-11;Random bit-flip
this;simulatedannealing.cpp;0;4.5308921337127686;0-11;Random bit-flip
neigh;solution.cpp;65;3.3973090648651123;0-11;Random bit-flip
this;solution.cpp;0;1.5697989463806152;0-11;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algo.h;1936;5.783160209655762;0-11;Random bit-flip
instance;solution.cpp;11;3.400151014328003;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;2.1281607151031494;0-11;Random bit-flip
